what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1452331230177
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1452331232055
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1452331233096
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1452331233456
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1452331234862
opened,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ProblemView",1452331238469
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1452331240521
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1452331246204
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1452331247621
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1452331248676
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1452331259154
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1452331264586
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1452331268108
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1452331269325
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1452331270401
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1452331309029
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1452331316081
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1452331316653
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1452331362483
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1452331363503
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1452331367969
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1452331381087
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1452331470861
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1452331569846
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1452331573242
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1452331577204
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1452331578589
started,bundle,org.eclipse.wst.jsdt.debug.core,1.0.0.v201006082045,"org.eclipse.wst.jsdt.debug.core",1452331578776
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1452331579516
